Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.60375,0.603422203665217,0.60375,7.289136799998232
8,0.01,8,ReLU,100,0.60375,0.603422203665217,0.60375,6.514855200002785
8,0.01,8,ReLU,300,0.60375,0.603422203665217,0.60375,2.8065903000097023
8,0.01,8,ReLU,500,0.60375,0.603422203665217,0.60375,2.5767831999983173
8,0.01,8,ReLU,1000,0.60375,0.603422203665217,0.60375,2.643798600009177
8,0.01,8,Tanh,50,0.6087499999999999,0.608161630197844,0.60875,3.2609270999964792
8,0.01,8,Tanh,100,0.6087499999999999,0.608161630197844,0.60875,3.3885143999941647
8,0.01,8,Tanh,300,0.6087499999999999,0.608161630197844,0.60875,3.899668699988979
8,0.01,8,Tanh,500,0.6087499999999999,0.608161630197844,0.60875,3.592782099993201
8,0.01,8,Tanh,1000,0.6087499999999999,0.608161630197844,0.60875,3.338122299988754
8,0.01,8,Sigmoid,50,0.604375,0.603255281017716,0.604375,3.2528320999990683
8,0.01,8,Sigmoid,100,0.604375,0.603255281017716,0.604375,3.403308199995081
8,0.01,8,Sigmoid,300,0.604375,0.603255281017716,0.604375,3.2117136000015307
8,0.01,8,Sigmoid,500,0.604375,0.603255281017716,0.604375,3.345445099999779
8,0.01,8,Sigmoid,1000,0.604375,0.603255281017716,0.604375,3.189736100001028
8,0.01,8,GELU,50,0.60375,0.603422203665217,0.60375,3.057013099998585
8,0.01,8,GELU,100,0.60375,0.603422203665217,0.60375,2.950044199998956
8,0.01,8,GELU,300,0.60375,0.603422203665217,0.60375,2.8074536000058288
8,0.01,8,GELU,500,0.60375,0.603422203665217,0.60375,2.891933599996264
8,0.01,8,GELU,1000,0.60375,0.603422203665217,0.60375,2.908615399996052
8,0.01,8,Softmax,50,0.60375,0.603422203665217,0.60375,2.4899404000025243
8,0.01,8,Softmax,100,0.60375,0.603422203665217,0.60375,2.747707800008357
8,0.01,8,Softmax,300,0.60375,0.603422203665217,0.60375,2.6705798000039067
8,0.01,8,Softmax,500,0.60375,0.603422203665217,0.60375,2.6709753000031924
8,0.01,8,Softmax,1000,0.60375,0.603422203665217,0.60375,2.6357826000021305
8,0.01,16,ReLU,50,0.604375,0.6043402252151069,0.604375,1.4450068000005558
8,0.01,16,ReLU,100,0.604375,0.6043402252151069,0.604375,1.640493200000492
8,0.01,16,ReLU,300,0.604375,0.6043402252151069,0.604375,1.6572720000112895
8,0.01,16,ReLU,500,0.604375,0.6043402252151069,0.604375,1.866228200000478
8,0.01,16,ReLU,1000,0.604375,0.6043402252151069,0.604375,1.4984741999942344
8,0.01,16,Tanh,50,0.6074999999999999,0.6074779206330356,0.6075,1.8455002999980932
8,0.01,16,Tanh,100,0.6074999999999999,0.6074779206330356,0.6075,1.6319703000044683
8,0.01,16,Tanh,300,0.6074999999999999,0.6074779206330356,0.6075,2.027163999999175
8,0.01,16,Tanh,500,0.6074999999999999,0.6074779206330356,0.6075,1.741321800000151
8,0.01,16,Tanh,1000,0.6074999999999999,0.6074779206330356,0.6075,1.9181466000009093
8,0.01,16,Sigmoid,50,0.5375,0.5268542199488491,0.5375,1.3278474999970058
8,0.01,16,Sigmoid,100,0.5375,0.5268542199488491,0.5375,1.6581151999998838
8,0.01,16,Sigmoid,300,0.5375,0.5268542199488491,0.5375,1.382421999995131
8,0.01,16,Sigmoid,500,0.5375,0.5268542199488491,0.5375,1.549358400006895
8,0.01,16,Sigmoid,1000,0.5375,0.5268542199488491,0.5375,1.6634262000006856
8,0.01,16,GELU,50,0.604375,0.6043402252151069,0.604375,1.5648637999984203
8,0.01,16,GELU,100,0.604375,0.6043402252151069,0.604375,1.6670513999997638
8,0.01,16,GELU,300,0.604375,0.6043402252151069,0.604375,1.4906172000046354
8,0.01,16,GELU,500,0.604375,0.6043402252151069,0.604375,1.653464700008044
8,0.01,16,GELU,1000,0.604375,0.6043402252151069,0.604375,1.3808775000070457
8,0.01,16,Softmax,50,0.604375,0.6043402252151069,0.604375,1.4908275000052529
8,0.01,16,Softmax,100,0.604375,0.6043402252151069,0.604375,1.563570600003004
8,0.01,16,Softmax,300,0.604375,0.6043402252151069,0.604375,1.4850491000106558
8,0.01,16,Softmax,500,0.604375,0.6043402252151069,0.604375,1.459597200009739
8,0.01,16,Softmax,1000,0.604375,0.6043402252151069,0.604375,1.6833899000048405
