Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.711875,0.7106287821575339,0.711875,1.3173863000120036
8,0.01,8,ReLU,100,0.711875,0.7106287821575339,0.711875,1.2711725999979535
8,0.01,8,ReLU,300,0.711875,0.7106287821575339,0.711875,1.3165425999904985
8,0.01,8,ReLU,500,0.711875,0.7106287821575339,0.711875,1.272153600002639
8,0.01,8,ReLU,1000,0.711875,0.7106287821575339,0.711875,1.2951447999948869
8,0.01,8,Tanh,50,0.708125,0.7069572934964677,0.708125,1.202289099994232
8,0.01,8,Tanh,100,0.708125,0.7069572934964677,0.708125,1.2729136999987531
8,0.01,8,Tanh,300,0.708125,0.7069572934964677,0.708125,1.2007512999989558
8,0.01,8,Tanh,500,0.708125,0.7069572934964677,0.708125,1.139109700001427
8,0.01,8,Tanh,1000,0.708125,0.7069572934964677,0.708125,1.1884892999951262
8,0.01,8,Sigmoid,50,0.704375,0.7036887384884758,0.704375,1.8834217999974496
8,0.01,8,Sigmoid,100,0.704375,0.7036887384884758,0.704375,1.8100214000005508
8,0.01,8,Sigmoid,300,0.704375,0.7036887384884758,0.704375,1.8018299999966985
8,0.01,8,Sigmoid,500,0.704375,0.7036887384884758,0.704375,1.801058800003375
8,0.01,8,Sigmoid,1000,0.704375,0.7036887384884758,0.704375,1.7804793999966932
8,0.01,8,GELU,50,0.711875,0.7106287821575339,0.711875,1.307310400006827
8,0.01,8,GELU,100,0.711875,0.7106287821575339,0.711875,1.3257599000062328
8,0.01,8,GELU,300,0.711875,0.7106287821575339,0.711875,1.2551517999963837
8,0.01,8,GELU,500,0.711875,0.7106287821575339,0.711875,1.2404238999879451
8,0.01,8,GELU,1000,0.711875,0.7106287821575339,0.711875,1.3530538999912096
8,0.01,8,Softmax,50,0.711875,0.7106287821575339,0.711875,1.4209546000056434
8,0.01,8,Softmax,100,0.711875,0.7106287821575339,0.711875,1.36059940000996
8,0.01,8,Softmax,300,0.711875,0.7106287821575339,0.711875,1.371089899999788
8,0.01,8,Softmax,500,0.711875,0.7106287821575339,0.711875,1.27303069998743
8,0.01,8,Softmax,1000,0.711875,0.7106287821575339,0.711875,1.254270200006431
8,0.01,16,ReLU,50,0.709375,0.7087003454485017,0.709375,0.748389500004123
8,0.01,16,ReLU,100,0.709375,0.7087003454485017,0.709375,0.7906167000037385
8,0.01,16,ReLU,300,0.709375,0.7087003454485017,0.709375,0.770646900011343
8,0.01,16,ReLU,500,0.709375,0.7087003454485017,0.709375,0.7395318999915617
8,0.01,16,ReLU,1000,0.709375,0.7087003454485017,0.709375,0.7719741000037175
8,0.01,16,Tanh,50,0.694375,0.6939004260902939,0.694375,0.7903558999969391
8,0.01,16,Tanh,100,0.694375,0.6939004260902939,0.694375,0.7996230999997351
8,0.01,16,Tanh,300,0.694375,0.6939004260902939,0.694375,0.9225688000005904
8,0.01,16,Tanh,500,0.694375,0.6939004260902939,0.694375,0.7494134000007762
8,0.01,16,Tanh,1000,0.694375,0.6939004260902939,0.694375,0.8095315999962622
8,0.01,16,Sigmoid,50,0.6675,0.6662986752308311,0.6675,0.991889800003264
8,0.01,16,Sigmoid,100,0.6675,0.6662986752308311,0.6675,1.158434099997976
8,0.01,16,Sigmoid,300,0.6675,0.6662986752308311,0.6675,1.0928225999959975
8,0.01,16,Sigmoid,500,0.6675,0.6662986752308311,0.6675,1.1043588000029558
8,0.01,16,Sigmoid,1000,0.6675,0.6662986752308311,0.6675,1.125456400011899
8,0.01,16,GELU,50,0.709375,0.7087003454485017,0.709375,0.7585766999982297
8,0.01,16,GELU,100,0.709375,0.7087003454485017,0.709375,0.7926623000093969
8,0.01,16,GELU,300,0.709375,0.7087003454485017,0.709375,0.7383948999922723
8,0.01,16,GELU,500,0.709375,0.7087003454485017,0.709375,0.780326399995829
8,0.01,16,GELU,1000,0.709375,0.7087003454485017,0.709375,0.7042768000101205
8,0.01,16,Softmax,50,0.709375,0.7087003454485017,0.709375,0.7398289999982808
8,0.01,16,Softmax,100,0.709375,0.7087003454485017,0.709375,0.7058663999923738
8,0.01,16,Softmax,300,0.709375,0.7087003454485017,0.709375,0.7799366000108421
8,0.01,16,Softmax,500,0.709375,0.7087003454485017,0.709375,0.7809019999986049
8,0.01,16,Softmax,1000,0.709375,0.7087003454485017,0.709375,0.8324458999995841
8,0.01,32,ReLU,50,0.71375,0.7132320253457809,0.71375,0.5395175000012387
8,0.01,32,ReLU,100,0.71375,0.7132320253457809,0.71375,0.4876057999936165
8,0.01,32,ReLU,300,0.71375,0.7132320253457809,0.71375,0.495963399996981
8,0.01,32,ReLU,500,0.71375,0.7132320253457809,0.71375,0.5088611000101082
8,0.01,32,ReLU,1000,0.71375,0.7132320253457809,0.71375,0.5373305999964941
8,0.01,32,Tanh,50,0.69875,0.6984786307676909,0.69875,0.4772895999922184
8,0.01,32,Tanh,100,0.69875,0.6984786307676909,0.69875,0.4883762999961618
8,0.01,32,Tanh,300,0.69875,0.6984786307676909,0.69875,0.5084509000007529
8,0.01,32,Tanh,500,0.69875,0.6984786307676909,0.69875,0.498371199995745
8,0.01,32,Tanh,1000,0.69875,0.6984786307676909,0.69875,0.4984545000042999
8,0.01,32,Sigmoid,50,0.656875,0.6560784723682309,0.656875,0.6139387000002898
8,0.01,32,Sigmoid,100,0.656875,0.6560784723682309,0.656875,0.6561141000129282
8,0.01,32,Sigmoid,300,0.656875,0.6560784723682309,0.656875,0.6668117999943206
8,0.01,32,Sigmoid,500,0.656875,0.6560784723682309,0.656875,0.6035821999976179
8,0.01,32,Sigmoid,1000,0.656875,0.6560784723682309,0.656875,0.6761507999908645
8,0.01,32,GELU,50,0.71375,0.7132320253457809,0.71375,0.5302967000025092
8,0.01,32,GELU,100,0.71375,0.7132320253457809,0.71375,0.4886893000075361
8,0.01,32,GELU,300,0.71375,0.7132320253457809,0.71375,0.520274900001823
8,0.01,32,GELU,500,0.71375,0.7132320253457809,0.71375,0.4763920999976108
8,0.01,32,GELU,1000,0.71375,0.7132320253457809,0.71375,0.4766531000059331
8,0.01,32,Softmax,50,0.71375,0.7132320253457809,0.71375,0.5481091999972705
8,0.01,32,Softmax,100,0.71375,0.7132320253457809,0.71375,0.6846453000034671
8,0.01,32,Softmax,300,0.71375,0.7132320253457809,0.71375,0.603237999996054
8,0.01,32,Softmax,500,0.71375,0.7132320253457809,0.71375,0.5512176000047475
8,0.01,32,Softmax,1000,0.71375,0.7132320253457809,0.71375,0.5087536000064574
8,0.01,64,ReLU,50,0.6968749999999999,0.6959341775861954,0.696875,0.2770582999946782
8,0.01,64,ReLU,100,0.6968749999999999,0.6959341775861954,0.696875,0.2988848000095458
8,0.01,64,ReLU,300,0.6968749999999999,0.6959341775861954,0.696875,0.298033300001407
8,0.01,64,ReLU,500,0.6968749999999999,0.6959341775861954,0.696875,0.3073597000038717
8,0.01,64,ReLU,1000,0.6968749999999999,0.6959341775861954,0.696875,0.2964778000023216
