Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.7418673999927705
8,0.01,8,ReLU,100,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.9598810000024969
8,0.01,8,ReLU,300,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.7802713999990374
8,0.01,8,ReLU,500,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.7617997000052128
8,0.01,8,ReLU,1000,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.7497378000116441
8,0.01,8,Tanh,50,0.49893790849673203,0.4987569146410178,0.4991749174917492,0.8959193999908166
8,0.01,8,Tanh,100,0.49893790849673203,0.4987569146410178,0.4991749174917492,0.8864796000125352
8,0.01,8,Tanh,300,0.49893790849673203,0.4987569146410178,0.4991749174917492,0.9567195999989053
8,0.01,8,Tanh,500,0.49893790849673203,0.4987569146410178,0.4991749174917492,0.9726458999939496
8,0.01,8,Tanh,1000,0.49893790849673203,0.4987569146410178,0.4991749174917492,0.8854545999929542
8,0.01,8,Sigmoid,50,0.5078431372549019,0.5067457712389027,0.5074257425742574,0.7502125000028173
8,0.01,8,Sigmoid,100,0.5078431372549019,0.5067457712389027,0.5074257425742574,0.7581108000013046
8,0.01,8,Sigmoid,300,0.5078431372549019,0.5067457712389027,0.5074257425742574,0.7492441999929724
8,0.01,8,Sigmoid,500,0.5078431372549019,0.5067457712389027,0.5074257425742574,0.8228923999995459
8,0.01,8,Sigmoid,1000,0.5078431372549019,0.5067457712389027,0.5074257425742574,0.7796678000013344
8,0.01,8,GELU,50,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.8231736000016099
8,0.01,8,GELU,100,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.8733593999932054
8,0.01,8,GELU,300,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.8113319000112824
8,0.01,8,GELU,500,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.8054566000064369
8,0.01,8,GELU,1000,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.7632122000068193
8,0.01,8,Softmax,50,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.7590322000032756
8,0.01,8,Softmax,100,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.7515721999952802
8,0.01,8,Softmax,300,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.7901687999983551
8,0.01,8,Softmax,500,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.771822599999723
8,0.01,8,Softmax,1000,0.48606209150326796,0.4737196138826055,0.4876237623762376,0.7720243999938248
8,0.01,16,ReLU,50,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.528017100004945
8,0.01,16,ReLU,100,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.5803540999913821
8,0.01,16,ReLU,300,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.5294053000106942
8,0.01,16,ReLU,500,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.5393851999979233
8,0.01,16,ReLU,1000,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.560739199994714
8,0.01,16,Tanh,50,0.5066176470588235,0.503700822885222,0.5074257425742574,0.5627276000013808
8,0.01,16,Tanh,100,0.5066176470588235,0.503700822885222,0.5074257425742574,0.5939830000133952
8,0.01,16,Tanh,300,0.5066176470588235,0.503700822885222,0.5074257425742574,0.5401926000049571
8,0.01,16,Tanh,500,0.5066176470588235,0.503700822885222,0.5074257425742574,0.6128258999960963
8,0.01,16,Tanh,1000,0.5066176470588235,0.503700822885222,0.5074257425742574,0.5814011999900686
8,0.01,16,Sigmoid,50,0.5088071895424837,0.5085670593959615,0.509075907590759,0.529037000000244
8,0.01,16,Sigmoid,100,0.5088071895424837,0.5085670593959615,0.509075907590759,0.5082012999919243
8,0.01,16,Sigmoid,300,0.5088071895424837,0.5085670593959615,0.509075907590759,0.538514200001373
8,0.01,16,Sigmoid,500,0.5088071895424837,0.5085670593959615,0.509075907590759,0.5633422999962931
8,0.01,16,Sigmoid,1000,0.5088071895424837,0.5085670593959615,0.509075907590759,0.5933895999914967
8,0.01,16,GELU,50,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.5504160999989836
8,0.01,16,GELU,100,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.5616681999963475
8,0.01,16,GELU,300,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.6108691000117688
8,0.01,16,GELU,500,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.5503161999949953
8,0.01,16,GELU,1000,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.5499926000047708
8,0.01,16,Softmax,50,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.5716844000126002
8,0.01,16,Softmax,100,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.5510493999900063
8,0.01,16,Softmax,300,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.6025050000025658
8,0.01,16,Softmax,500,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.5627956000098493
8,0.01,16,Softmax,1000,0.4865686274509804,0.4811869149021968,0.4876237623762376,0.549235200000112
8,0.01,32,ReLU,50,0.47419934640522876,0.468753704372469,0.4752475247524752,0.2982625000004191
8,0.01,32,ReLU,100,0.47419934640522876,0.468753704372469,0.4752475247524752,0.30898010000237264
8,0.01,32,ReLU,300,0.47419934640522876,0.468753704372469,0.4752475247524752,0.2985192000051029
8,0.01,32,ReLU,500,0.47419934640522876,0.468753704372469,0.4752475247524752,0.318684600002598
8,0.01,32,ReLU,1000,0.47419934640522876,0.468753704372469,0.4752475247524752,0.2984418999985792
8,0.01,32,Tanh,50,0.5131372549019608,0.513136358313339,0.5132013201320133,0.3507381999952486
8,0.01,32,Tanh,100,0.5131372549019608,0.513136358313339,0.5132013201320133,0.34945630001311656
8,0.01,32,Tanh,300,0.5131372549019608,0.513136358313339,0.5132013201320133,0.34956979998969473
8,0.01,32,Tanh,500,0.5131372549019608,0.513136358313339,0.5132013201320133,0.3387412000010954
8,0.01,32,Tanh,1000,0.5131372549019608,0.513136358313339,0.5132013201320133,0.297708900005091
8,0.01,32,Sigmoid,50,0.5065522875816993,0.5031064260820299,0.5074257425742574,0.3089793999970425
8,0.01,32,Sigmoid,100,0.5065522875816993,0.5031064260820299,0.5074257425742574,0.32955770000990015
8,0.01,32,Sigmoid,300,0.5065522875816993,0.5031064260820299,0.5074257425742574,0.3395870999956969
8,0.01,32,Sigmoid,500,0.5065522875816993,0.5031064260820299,0.5074257425742574,0.3075208000082057
8,0.01,32,Sigmoid,1000,0.5065522875816993,0.5031064260820299,0.5074257425742574,0.30799169999954756
8,0.01,32,GELU,50,0.47419934640522876,0.468753704372469,0.4752475247524752,0.29834319998917636
8,0.01,32,GELU,100,0.47419934640522876,0.468753704372469,0.4752475247524752,0.2983563000016147
8,0.01,32,GELU,300,0.47419934640522876,0.468753704372469,0.4752475247524752,0.3203667000052519
8,0.01,32,GELU,500,0.47419934640522876,0.468753704372469,0.4752475247524752,0.28769529999408405
8,0.01,32,GELU,1000,0.47419934640522876,0.468753704372469,0.4752475247524752,0.32015069999033585
8,0.01,32,Softmax,50,0.47419934640522876,0.468753704372469,0.4752475247524752,0.2993235000030836
8,0.01,32,Softmax,100,0.47419934640522876,0.468753704372469,0.4752475247524752,0.2986051000043517
8,0.01,32,Softmax,300,0.47419934640522876,0.468753704372469,0.4752475247524752,0.3197253999969689
8,0.01,32,Softmax,500,0.47419934640522876,0.468753704372469,0.4752475247524752,0.2968206000077771
8,0.01,32,Softmax,1000,0.47419934640522876,0.468753704372469,0.4752475247524752,0.29600899999786634
8,0.01,64,ReLU,50,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.2059983000071952
8,0.01,64,ReLU,100,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.202518299993244
8,0.01,64,ReLU,300,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.19289170000411104
8,0.01,64,ReLU,500,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.18364950000250246
8,0.01,64,ReLU,1000,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.19364040000073146
8,0.01,64,Tanh,50,0.5055555555555555,0.5054089130057124,0.5057755775577558,0.19339190000027884
8,0.01,64,Tanh,100,0.5055555555555555,0.5054089130057124,0.5057755775577558,0.18348140000307467
8,0.01,64,Tanh,300,0.5055555555555555,0.5054089130057124,0.5057755775577558,0.204019500000868
8,0.01,64,Tanh,500,0.5055555555555555,0.5054089130057124,0.5057755775577558,0.19214220000139903
8,0.01,64,Tanh,1000,0.5055555555555555,0.5054089130057124,0.5057755775577558,0.2039911000028951
8,0.01,64,Sigmoid,50,0.4962254901960784,0.495292344325145,0.4966996699669967,0.23524619999807328
8,0.01,64,Sigmoid,100,0.4962254901960784,0.495292344325145,0.4966996699669967,0.21436240000184625
8,0.01,64,Sigmoid,300,0.4962254901960784,0.495292344325145,0.4966996699669967,0.21438869999838062
8,0.01,64,Sigmoid,500,0.4962254901960784,0.495292344325145,0.4966996699669967,0.21320289999130182
8,0.01,64,Sigmoid,1000,0.4962254901960784,0.495292344325145,0.4966996699669967,0.22522239999671
8,0.01,64,GELU,50,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.2882986000040546
8,0.01,64,GELU,100,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.24616280000191182
8,0.01,64,GELU,300,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.19493409999995492
8,0.01,64,GELU,500,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.22606089999317192
8,0.01,64,GELU,1000,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.21457229999941774
8,0.01,64,Softmax,50,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.20293059998948593
8,0.01,64,Softmax,100,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.2037564000056591
8,0.01,64,Softmax,300,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.1909698999952525
8,0.01,64,Softmax,500,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.20511519999126904
8,0.01,64,Softmax,1000,0.49354575163398695,0.4823274550474441,0.49504950495049505,0.19219829999201465
8,0.01,128,ReLU,50,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.13772259998950176
8,0.01,128,ReLU,100,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.12011069999425672
8,0.01,128,ReLU,300,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.12044199999945704
8,0.01,128,ReLU,500,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.13117789999523666
8,0.01,128,ReLU,1000,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.13138289999915287
8,0.01,128,Tanh,50,0.5146078431372549,0.5144230769230769,0.5148514851485149,0.20295350000378676
8,0.01,128,Tanh,100,0.5146078431372549,0.5144230769230769,0.5148514851485149,0.17992889999004547
8,0.01,128,Tanh,300,0.5146078431372549,0.5144230769230769,0.5148514851485149,0.18216219999885652
8,0.01,128,Tanh,500,0.5146078431372549,0.5144230769230769,0.5148514851485149,0.202822199993534
8,0.01,128,Tanh,1000,0.5146078431372549,0.5144230769230769,0.5148514851485149,0.18331200000829995
8,0.01,128,Sigmoid,50,0.4961274509803922,0.4947128422710174,0.4966996699669967,0.1404906999960076
8,0.01,128,Sigmoid,100,0.4961274509803922,0.4947128422710174,0.4966996699669967,0.15144010000221897
8,0.01,128,Sigmoid,300,0.4961274509803922,0.4947128422710174,0.4966996699669967,0.14019310000003316
8,0.01,128,Sigmoid,500,0.4961274509803922,0.4947128422710174,0.4966996699669967,0.14082200000120793
8,0.01,128,Sigmoid,1000,0.4961274509803922,0.4947128422710174,0.4966996699669967,0.13112350000301376
8,0.01,128,GELU,50,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.1407147999998415
8,0.01,128,GELU,100,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.13944549999723677
8,0.01,128,GELU,300,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.1638680000032764
8,0.01,128,GELU,500,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.13970549999794457
8,0.01,128,GELU,1000,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.13956880000478122
8,0.01,128,Softmax,50,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.14011680000112392
8,0.01,128,Softmax,100,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.13052629999583587
8,0.01,128,Softmax,300,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.1406462000013562
8,0.01,128,Softmax,500,0.49307189542483665,0.4866730922695851,0.49422442244224424,0.15111679999972694
